,undirected,indegree,outdegree,vote
5,0.929980595,0.93305304,0.933861578,0.929495472
10,0.952781371,0.952619664,0.94873868,0.957147477
15,0.965232859,0.970245796,0.961028461,0.968628719
20,0.965717982,0.971054334,0.970892626,0.96927555
25,0.963615783,0.971377749,0.97202458,0.969437257
30,0.967658473,0.973803364,0.975258732,0.971054334
35,0.973156533,0.97542044,0.976390686,0.974450194
40,0.97267141,0.97606727,0.979948254,0.974773609
45,0.974450194,0.976390686,0.979948254,0.975258732
50,0.975097025,0.977360931,0.979948254,0.975258732
55,0.975258732,0.97816947,0.982535576,0.976552393
60,0.976228978,0.9788163,0.984152652,0.978007762
65,0.975905563,0.9788163,0.98431436,0.977846054
70,0.975905563,0.977684347,0.984152652,0.978331177
75,0.976714101,0.98496119,0.984476067,0.981727038
80,0.980109961,0.985446313,0.984476067,0.983829237
85,0.98221216,0.985284605,0.984476067,0.983829237
90,0.98221216,0.989812419,0.984799483,0.988033635
95,0.981888745,0.989650712,0.985284605,0.987386805
100,0.985608021,0.989812419,0.989003881,0.988195343
105,0.985446313,0.989650712,0.989165589,0.98835705
110,0.985769728,0.989650712,0.989489004,0.988680466
115,0.986254851,0.989650712,0.991267788,0.989165589
120,0.986254851,0.989974127,0.991752911,0.989489004
125,0.986578266,0.990135834,0.992076326,0.990297542
130,0.986901682,0.990944373,0.992884864,0.99110608
135,0.987063389,0.990944373,0.992723157,0.991429495
140,0.987386805,0.989812419,0.992723157,0.990135834
145,0.988518758,0.989812419,0.992561449,0.990782665
150,0.988680466,0.989974127,0.992884864,0.990944373
155,0.98835705,0.989974127,0.992723157,0.990782665
160,0.988518758,0.989974127,0.992561449,0.990782665
165,0.988842173,0.990135834,0.992723157,0.990782665
170,0.989003881,0.990135834,0.992561449,0.990944373
175,0.989327296,0.990135834,0.992561449,0.991267788
180,0.989165589,0.990297542,0.992561449,0.990944373
185,0.989165589,0.990297542,0.992723157,0.990944373
190,0.989327296,0.990135834,0.992723157,0.99110608
195,0.989165589,0.989974127,0.992723157,0.990782665
200,0.989003881,0.989974127,0.992884864,0.990944373
205,0.989327296,0.990135834,0.992723157,0.99110608
210,0.989327296,0.990135834,0.992884864,0.99110608
215,0.989327296,0.99045925,0.992884864,0.99110608
220,0.989327296,0.989974127,0.992884864,0.991267788
225,0.989650712,0.990297542,0.993046572,0.991429495
230,0.989327296,0.989974127,0.993046572,0.991267788
235,0.989327296,0.989974127,0.993046572,0.991267788
240,0.989327296,0.989974127,0.993046572,0.99110608
245,0.989327296,0.989974127,0.993208279,0.99110608
250,0.989489004,0.990135834,0.993208279,0.991267788
255,0.989489004,0.990135834,0.993208279,0.991267788
260,0.989650712,0.990135834,0.993369987,0.991429495
265,0.989165589,0.989974127,0.993046572,0.991267788
270,0.989327296,0.990297542,0.992723157,0.991429495
275,0.988842173,0.990297542,0.993208279,0.991429495
280,0.989327296,0.990620957,0.993046572,0.991591203
285,0.989974127,0.99045925,0.993208279,0.991914618
290,0.990297542,0.99045925,0.993046572,0.991752911
295,0.989974127,0.990620957,0.993369987,0.991914618
300,0.990135834,0.99045925,0.992561449,0.991429495
305,0.989974127,0.990620957,0.992884864,0.991591203
310,0.989974127,0.990782665,0.993046572,0.991914618
315,0.990297542,0.990620957,0.993046572,0.991914618
320,0.989812419,0.990782665,0.993046572,0.991752911
325,0.990297542,0.990620957,0.993208279,0.991914618
330,0.990297542,0.990620957,0.993208279,0.991914618
335,0.989974127,0.990297542,0.993208279,0.991752911
340,0.989812419,0.990297542,0.993208279,0.991591203
345,0.989650712,0.99045925,0.993046572,0.991429495
350,0.989812419,0.99045925,0.992561449,0.991591203
355,0.989974127,0.99045925,0.992561449,0.991752911
360,0.989812419,0.99045925,0.992399741,0.991591203
365,0.990297542,0.99045925,0.992399741,0.991914618
370,0.989974127,0.99045925,0.992561449,0.991752911
375,0.989974127,0.99045925,0.992561449,0.991752911
380,0.990135834,0.99045925,0.992561449,0.991752911
385,0.990297542,0.99045925,0.992399741,0.991914618
390,0.989812419,0.99045925,0.992238034,0.991429495
395,0.990135834,0.990297542,0.992561449,0.991752911
400,0.990135834,0.99045925,0.992723157,0.991914618
