,undirected,indegree,outdegree,vote
5,0.99215718,0.986190168,0.988065977,0.991429495
10,0.996264554,0.994000647,0.994679819,0.996587969
15,0.997008409,0.996248383,0.995569211,0.997234799
20,0.997105433,0.996216041,0.99576326,0.997121604
25,0.997121604,0.996070505,0.996021992,0.997170116
30,0.997380336,0.996490944,0.996248383,0.99704075
35,0.997380336,0.996474774,0.996135188,0.996976067
40,0.997477361,0.996442432,0.996167529,0.99702458
45,0.997542044,0.99639392,0.996135188,0.996992238
50,0.997525873,0.996410091,0.996879043,0.997267141
55,0.99767141,0.996458603,0.996959897,0.997299483
60,0.997719922,0.996571798,0.996895213,0.997331824
65,0.997639069,0.996507115,0.996911384,0.997283312
70,0.997558215,0.996668823,0.996684994,0.997331824
75,0.997752264,0.996701164,0.996636481,0.997315653
80,0.997574386,0.99660414,0.996684994,0.997218629
85,0.997703752,0.996717335,0.996636481,0.997347995
90,0.997816947,0.996798189,0.996782018,0.997396507
95,0.997816947,0.996701164,0.996717335,0.997380336
100,0.997816947,0.996684994,0.996717335,0.997364166
105,0.997930142,0.996798189,0.996798189,0.997493532
110,0.997784605,0.996782018,0.996959897,0.997590556
115,0.997606727,0.996717335,0.996895213,0.997525873
120,0.99767141,0.996684994,0.99704075,0.997525873
125,0.997622898,0.99681436,0.997089263,0.997590556
130,0.997558215,0.996782018,0.997056921,0.997542044
135,0.99767141,0.996749677,0.997170116,0.997558215
140,0.997703752,0.996782018,0.997153946,0.997590556
145,0.997719922,0.996749677,0.997137775,0.997574386
150,0.99767141,0.996733506,0.997105433,0.997574386
155,0.99767141,0.996733506,0.997153946,0.997525873
160,0.997639069,0.996668823,0.997089263,0.997428849
165,0.997606727,0.996749677,0.997121604,0.997509702
170,0.997606727,0.996782018,0.997283312,0.997574386
175,0.997606727,0.996798189,0.997170116,0.997590556
180,0.99767141,0.996862872,0.997170116,0.99767141
185,0.997590556,0.996749677,0.997153946,0.997493532
190,0.997574386,0.996733506,0.997186287,0.997493532
195,0.997655239,0.996733506,0.997186287,0.997525873
200,0.997736093,0.996652652,0.997186287,0.997542044
205,0.997622898,0.996733506,0.997234799,0.997574386
210,0.99767141,0.996749677,0.997137775,0.997542044
215,0.997509702,0.996765847,0.997137775,0.99746119
220,0.99767141,0.996798189,0.997121604,0.997542044
225,0.997639069,0.996701164,0.997089263,0.997525873
230,0.997687581,0.996701164,0.997283312,0.997590556
235,0.997622898,0.99683053,0.997218629,0.997558215
240,0.997687581,0.996733506,0.997153946,0.997509702
245,0.997703752,0.996798189,0.997170116,0.997493532
250,0.997639069,0.99681436,0.997218629,0.997525873
255,0.997655239,0.996765847,0.997186287,0.997606727
260,0.997703752,0.99681436,0.997186287,0.997606727
265,0.997719922,0.99683053,0.99725097,0.997606727
270,0.997606727,0.996733506,0.997299483,0.997509702
275,0.99767141,0.996652652,0.997218629,0.997477361
280,0.997687581,0.99681436,0.997218629,0.997558215
285,0.997606727,0.996765847,0.997202458,0.99746119
290,0.997687581,0.99683053,0.997153946,0.997590556
295,0.997703752,0.99683053,0.997202458,0.997606727
300,0.997622898,0.996765847,0.997202458,0.997493532
305,0.997590556,0.996765847,0.997137775,0.997542044
310,0.997687581,0.996765847,0.997267141,0.997542044
315,0.997606727,0.996668823,0.997234799,0.997477361
320,0.99767141,0.996782018,0.997202458,0.997542044
325,0.997719922,0.99683053,0.997315653,0.997639069
330,0.997655239,0.996749677,0.997170116,0.997558215
335,0.99767141,0.996879043,0.997202458,0.997590556
340,0.997719922,0.99683053,0.997186287,0.997639069
345,0.99767141,0.99681436,0.997186287,0.997639069
350,0.997784605,0.996701164,0.997218629,0.997606727
355,0.997639069,0.996862872,0.997299483,0.99767141
360,0.997784605,0.996862872,0.997153946,0.99767141
365,0.997639069,0.996668823,0.997315653,0.997542044
370,0.997639069,0.996733506,0.997218629,0.997558215
375,0.997736093,0.996717335,0.997315653,0.997590556
380,0.997687581,0.996765847,0.997299483,0.997542044
385,0.997639069,0.996782018,0.997347995,0.997590556
390,0.997655239,0.99681436,0.997299483,0.997590556
395,0.997687581,0.996846701,0.99725097,0.997606727
400,0.997687581,0.996782018,0.997267141,0.997590556
